Date,diesel_price_volatility_factor_v1
2015-06-22,0.048965293830674037
2015-06-22,0.043749412693612294
2015-06-22,0.05547582055806066
2015-06-23,0.058907554693128285
2015-06-23,0.057877264773834855
2015-06-23,0.06148748743471423
2015-06-24,0.06187406564889333
2015-06-24,0.06389409640552356
2015-06-24,0.060445475889263786
2015-06-25,0.06581970322978171
2015-06-25,0.06562384390457503
2015-06-25,0.0679052444377141
2015-06-26,0.05739773514629748
2015-06-26,0.06087144924557417
2015-06-26,0.058101061378060724
2015-06-29,0.060091042038355136
2015-06-29,0.05787428905183155
2015-06-29,0.05631903171446974
2015-06-30,0.05190429226448181
2015-06-30,0.05061938583333834
2015-06-30,0.05650211402072995
2015-07-01,0.05704783567741125
2015-07-01,0.058518373182458984
2015-07-01,0.05456178964083786
2015-07-02,0.05542251848732442
2015-07-02,0.050674999314041104
2015-07-02,0.05088560154274345
2015-07-06,0.07561312349298345
2015-07-06,0.08384118584779371
2015-07-06,0.08149464876724473
2015-07-07,0.07050799796969993
2015-07-07,0.08041316918076483
2015-07-07,0.07372501459947475
2015-07-08,0.06984299853498721
2015-07-08,0.051864781455898346
2015-07-08,0.05546730768780563
2015-07-09,0.04135765413398194
2015-07-09,0.041105420025430044
2015-07-09,0.043312815654390144
2015-07-10,0.040084494091574545
2015-07-10,0.036597662340630915
2015-07-10,0.038845706182277166
2015-07-13,0.04087161470752311
2015-07-13,0.04080250536861423
2015-07-13,0.04549920634130058
2015-07-14,0.043242982730924084
2015-07-14,0.04332769193945414
2015-07-14,0.04613759614119463
2015-07-15,0.04501900833005458
2015-07-15,0.054728521915180954
2015-07-15,0.055282004304377734
2015-07-16,0.05611981230582489
2015-07-16,0.04951599068220414
2015-07-16,0.047809343576751005
2015-07-17,0.04842279077637981
2015-07-17,0.03544714374819784
2015-07-17,0.03416642276195664
2015-07-20,0.03803565578526211
2015-07-20,0.03179535255894805
2015-07-20,0.032174696750931986
2015-07-21,0.030379817860484565
2015-07-21,0.03219316697536255
2015-07-21,0.033882804552577535
2015-07-22,0.032452358241869296
2015-07-22,0.03840081017538351
2015-07-22,0.03936495903597192
2015-07-23,0.03683974303074148
2015-07-23,0.0350556700107773
2015-07-23,0.03754464009555662
2015-07-24,0.042659504606100615
2015-07-24,0.04223426728662946
2015-07-24,0.041811880288239074
2015-07-27,0.056795930995811705
2015-07-27,0.05827416046311441
2015-07-27,0.05361477822715332
2015-07-28,0.05156021291128755
2015-07-28,0.04990891703795586
