Date,diesel_momentum_factor_10d
1996-12-27,0.042253521126760604
1996-12-30,0.053521126760563434
1996-12-31,0.024657534246575366
1997-01-02,0.03001364256480221
1997-01-03,0.02721088435374152
1997-01-06,0.017449664429530217
1997-01-07,0.020134228187919483
1997-01-08,0.02721088435374152
1997-01-09,0.02721088435374152
1997-01-10,0.017687074829931988
1997-01-13,0.004054054054054058
1997-01-14,-0.01069518716577541
1997-01-15,-0.020053475935828895
1997-01-16,-0.009271523178807955
1997-01-17,-0.009271523178807955
1997-01-20,-0.017150395778364132
1997-01-21,-0.026315789473684233
1997-01-22,-0.01986754966887419
1997-01-23,0.01986754966887419
1997-01-24,0.03609625668449201
1997-01-27,0.07402422611036345
1997-01-28,0.12567567567567564
1997-01-29,0.15279672578444747
1997-01-30,0.18315508021390375
1997-01-31,0.16711229946524064
