factor_a,factor_b,pearson_r,abs_pearson_r
PDF_F3_Gas_Crack_Mom_10d,Refinery_Operating_Profitability_Factor_v1,-0.012389,0.012389
PDF_F3_Gas_Crack_Mom_10d,usgc_singapore_margin_spread_factor_v1,0.021344,0.021344
PDF_F3_Gas_Crack_Mom_10d,Oil Consumption Momentum Factor,-0.124815,0.124815
PDF_F3_Gas_Crack_Mom_10d,diesel_price_volatility_factor_v1,0.004265,0.004265
PDF_F3_Gas_Crack_Mom_10d,diesel_momentum_factor_10d,0.009625,0.009625
PDF_F4_Gas_Demand_Strength_5d,PDF_F5_Heating_Vol_Mom_20d,0.295546,0.295546
PDF_F4_Gas_Demand_Strength_5d,PDF_F6_Heating_Seasonal_15d,0.011793,0.011793
PDF_F4_Gas_Demand_Strength_5d,PDF_F7_Heating_Crack_Reversal_10d,-0.095592,0.095592
PDF_F4_Gas_Demand_Strength_5d,PDF_F8_Heating_Vol_Regime_5d,-0.072321,0.072321
PDF_F4_Gas_Demand_Strength_5d,PDF_F9_Composite_Product_Mom_20d,0.371332,0.371332
PDF_F4_Gas_Demand_Strength_5d,PDF_F10_Product_Spread_Div_15d,0.005156,0.005156
PDF_F4_Gas_Demand_Strength_5d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.137819,0.137819
PDF_F4_Gas_Demand_Strength_5d,PDF_F12_Refinery_Margin_Pressure_20d,0.033243,0.033243
PDF_F4_Gas_Demand_Strength_5d,PDF_F13_Demand_Structure_Shift_30d,0.009497,0.009497
PDF_F4_Gas_Demand_Strength_5d,Refinery_Operating_Profitability_Factor_v1,-0.045092,0.045092
PDF_F4_Gas_Demand_Strength_5d,usgc_singapore_margin_spread_factor_v1,0.019908,0.019908
PDF_F4_Gas_Demand_Strength_5d,Oil Consumption Momentum Factor,0.01811,0.01811
PDF_F4_Gas_Demand_Strength_5d,diesel_price_volatility_factor_v1,-0.016583,0.016583
PDF_F4_Gas_Demand_Strength_5d,diesel_momentum_factor_10d,0.311013,0.311013
PDF_F5_Heating_Vol_Mom_20d,PDF_F6_Heating_Seasonal_15d,0.15181,0.15181
PDF_F5_Heating_Vol_Mom_20d,PDF_F7_Heating_Crack_Reversal_10d,-0.378904,0.378904
PDF_F5_Heating_Vol_Mom_20d,PDF_F8_Heating_Vol_Regime_5d,-0.082678,0.082678
PDF_F5_Heating_Vol_Mom_20d,PDF_F9_Composite_Product_Mom_20d,0.831258,0.831258
PDF_F5_Heating_Vol_Mom_20d,PDF_F10_Product_Spread_Div_15d,0.003497,0.003497
PDF_F5_Heating_Vol_Mom_20d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,0.02331,0.02331
PDF_F5_Heating_Vol_Mom_20d,PDF_F12_Refinery_Margin_Pressure_20d,0.2183,0.2183
PDF_F5_Heating_Vol_Mom_20d,PDF_F13_Demand_Structure_Shift_30d,-0.053535,0.053535
PDF_F5_Heating_Vol_Mom_20d,Refinery_Operating_Profitability_Factor_v1,-0.132077,0.132077
PDF_F5_Heating_Vol_Mom_20d,usgc_singapore_margin_spread_factor_v1,-0.012997,0.012997
PDF_F5_Heating_Vol_Mom_20d,Oil Consumption Momentum Factor,0.10927,0.10927
PDF_F5_Heating_Vol_Mom_20d,diesel_price_volatility_factor_v1,0.034829,0.034829
PDF_F5_Heating_Vol_Mom_20d,diesel_momentum_factor_10d,0.33685,0.33685
PDF_F6_Heating_Seasonal_15d,PDF_F7_Heating_Crack_Reversal_10d,-0.17126,0.17126
PDF_F6_Heating_Seasonal_15d,PDF_F8_Heating_Vol_Regime_5d,0.021195,0.021195
PDF_F6_Heating_Seasonal_15d,PDF_F9_Composite_Product_Mom_20d,0.110709,0.110709
PDF_F6_Heating_Seasonal_15d,PDF_F10_Product_Spread_Div_15d,-0.083326,0.083326
PDF_F6_Heating_Seasonal_15d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,0.006378,0.006378
PDF_F6_Heating_Seasonal_15d,PDF_F12_Refinery_Margin_Pressure_20d,0.114154,0.114154
PDF_F6_Heating_Seasonal_15d,PDF_F13_Demand_Structure_Shift_30d,-0.022525,0.022525
PDF_F6_Heating_Seasonal_15d,Refinery_Operating_Profitability_Factor_v1,0.183449,0.183449
PDF_F6_Heating_Seasonal_15d,usgc_singapore_margin_spread_factor_v1,0.001886,0.001886
PDF_F6_Heating_Seasonal_15d,Oil Consumption Momentum Factor,0.067888,0.067888
